episode,score,high_score,lives,steps,reward,reached_mid_checkpoint,completed_lap,epsilon
283,50,70,0,37,-604.0,True,False,0.0978
284,0,30,0,18,-696.0,False,False,0.09731
285,0,30,0,18,-696.0,False,False,0.09683
286,150,160,0,37,-327.0,True,True,0.09634
287,0,30,0,18,-696.0,False,False,0.09586
288,0,30,0,18,-694.0,False,False,0.09538
289,50,70,0,18,-588.0,True,False,0.0949
290,0,10,0,7,-696.0,False,False,0.09443
291,0,30,0,18,-696.0,False,False,0.09396
292,0,30,0,18,-695.0,False,False,0.09349
293,0,30,0,18,-696.0,False,False,0.09302
294,0,30,0,18,-696.0,False,False,0.09255
295,0,30,0,18,-696.0,False,False,0.09209
296,0,30,0,42,-721.0,False,False,0.09163
297,0,30,0,17,-695.0,False,False,0.09117
298,0,30,0,18,-696.0,False,False,0.09072
299,50,70,0,64,-630.0,True,False,0.09026
300,0,30,0,18,-696.0,False,False,0.08981
301,50,70,0,37,-602.0,True,False,0.08936
302,0,30,0,18,-696.0,False,False,0.08892
303,50,70,0,42,-606.0,True,False,0.08847
304,50,70,0,37,-602.0,True,False,0.08803
305,0,30,0,18,-695.0,False,False,0.08759
306,0,30,0,18,-696.0,False,False,0.08715
307,0,10,0,7,-696.0,False,False,0.08672
308,0,30,0,18,-696.0,False,False,0.08628
309,0,30,0,18,-696.0,False,False,0.08585
310,0,30,0,18,-696.0,False,False,0.08542
311,150,160,0,37,-327.0,True,True,0.08499
312,0,20,0,18,-696.0,False,False,0.08457
313,0,30,0,18,-696.0,False,False,0.08415
314,50,70,0,37,-600.0,True,False,0.08373
315,0,30,0,42,-722.0,False,False,0.08331
316,0,30,0,18,-696.0,False,False,0.08289
317,150,160,0,37,-329.0,True,True,0.08248
318,0,30,0,18,-696.0,False,False,0.08206
319,50,70,0,18,-588.0,True,False,0.08165
320,0,30,0,18,-696.0,False,False,0.08125
321,0,20,0,18,-696.0,False,False,0.08084
322,0,30,0,18,-696.0,False,False,0.08044
323,0,30,0,17,-695.0,False,False,0.08003
324,150,170,0,64,-337.0,True,True,0.07963
325,150,170,0,64,-343.0,True,True,0.07923
326,0,30,0,18,-696.0,False,False,0.07884
327,0,30,0,18,-696.0,False,False,0.07844
328,0,30,0,18,-696.0,False,False,0.07805
329,150,170,0,64,-342.0,True,True,0.07766
330,0,30,0,18,-696.0,False,False,0.07727
331,0,30,0,18,-696.0,False,False,0.07689
332,0,30,0,18,-696.0,False,False,0.0765
333,50,70,0,36,-602.0,True,False,0.07612
334,0,30,0,18,-696.0,False,False,0.07574
335,50,70,0,37,-599.0,True,False,0.07536
336,50,80,0,65,-618.0,True,False,0.07498
337,50,70,0,42,-606.0,True,False,0.07461
338,0,30,0,18,-696.0,False,False,0.07424
339,0,30,0,18,-696.0,False,False,0.07386
340,0,30,0,18,-696.0,False,False,0.0735
341,0,30,0,18,-696.0,False,False,0.07313
342,50,60,0,36,-595.0,True,False,0.07276
343,0,30,0,18,-696.0,False,False,0.0724
344,0,30,0,18,-696.0,False,False,0.07204
345,0,30,0,18,-695.0,False,False,0.07168
346,0,30,0,18,-696.0,False,False,0.07132
347,0,30,0,18,-696.0,False,False,0.07096
348,0,30,0,18,-696.0,False,False,0.07061
349,0,30,0,18,-696.0,False,False,0.07025
350,0,30,0,52,-732.0,False,False,0.0699
351,0,30,0,18,-696.0,False,False,0.06955
352,50,70,0,37,-602.0,True,False,0.06921
353,0,30,0,18,-696.0,False,False,0.06886
354,0,10,0,7,-698.0,False,False,0.06851
355,0,30,0,18,-696.0,False,False,0.06817
356,50,80,0,76,-626.0,True,False,0.06783
357,0,30,0,18,-695.0,False,False,0.06749
358,0,30,0,18,-696.0,False,False,0.06715
359,0,30,0,18,-696.0,False,False,0.06682
360,50,70,0,37,-602.0,True,False,0.06648
361,0,30,0,43,-726.0,False,False,0.06615
362,0,30,0,18,-695.0,False,False,0.06582
363,0,30,0,18,-696.0,False,False,0.06549
364,0,30,0,18,-696.0,False,False,0.06517
365,0,30,0,18,-696.0,False,False,0.06484
366,0,30,0,18,-696.0,False,False,0.06452
